name,mz,rt,MS2.spectrum.name,Candidate.number,Level,Compound.name,CAS.ID,HMDB.ID,KEGG.ID,Lab.ID,Adduct,mz.error,mz.match.score,RT.error,RT.match.score,CE,SS,Total.score,Database,super_class,class,sub_class
M100T305_POS,100.111936349458,305.254150390625,mz100.112167358398rt292.92441,1,2,Cyclohexylamine,108-91-8,HMDB0031404,C00571,shen_4881_HMDB31404,(M+H)+,0.1698435,0.9999769,NA,NA,Unknown_1,0.51203,0.6950101,hmdbDatabase0.0.1,Organic nitrogen compounds,Organonitrogen compounds,Cyclohexylamines
M101T344_POS,101.059568527856,343.755676269531,mz101.059867188192rt303.997674,1,2,Senecioic acid,541-47-9,HMDB0000509,NA,n00062,(M+H)+,0.3429705,0.9999059,NA,NA,20,0.750826,0.844231,nistDatabase0.0.1,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
M101T96_NEG,101.024181137174,96.01513671875,mz101.024292816817rt147.965958,1,2,Succinic acid semialdehyde,692-29-5,HMDB0001259,C00232,M0307,(M-H)-,0.267958,0.9999426,NA,NA,20,0.6421191,0.7763029,metlinDatabase0.0.1,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
M102T108_POS,102.055052542553,108.345092773438,mz102.055068969727rt118.578336,1,2,L-.alpha.-Amino-.gamma.-butyrolactone,2185-02-6,NA,NA,NO07224,(M+H)+,0.1724243,0.9999762,NA,NA,5,0.5215249,0.7009441,orbitrapDatabase0.0.1,NA,NA,NA
M102T139_NEG,102.049270202592,139.11092376709,mz102.049156188965rt148.896186,1,2,4-Aminobutyric acid,1956-12-2,HMDB0000112,C00334,S0298,(M-H)-,17.18453,0.7895861,NA,NA,15,0.6653646,0.7119477,nistDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M105T80_NEG,105.01569255095,80.3805236816406,mz105.015678405762rt138.947304,1,2,Glyceric acid,NA,NA,C00258,MONA_15722,(M-H)-,9.075666,0.9362299,NA,NA,HCD (NCE 20-30-40%),0.70261,0.7902175,monaDatabase0.0.1,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
M106T137_POS,106.049654313089,137.030197143555,mz106.049811462899rt116.509074,1,2,Serine,NA,HMDB0000187,C00065,MONA_15258,(M+H)+,0.2040528,0.9999667,NA,NA,HCD (NCE 20-30-40%),0.7375859,0.8359787,monaDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M107T359_NEG,107.046658770825,358.669357299805,mz107.046577235008rt396.138312,1,2,p-Cresol,106-44-5,HMDB0001858,C01468,M0772,(M-H)-,9.056912,0.9364847,NA,NA,20,0.7697684,0.832287,metlinDatabase0.0.1,Benzenoids,Phenols,Cresols
M109T337_POS,109.028549674811,336.687133789062,mz109.028629260049rt395.413596,1,2,Quinone,106-51-4,HMDB0003364,C00472,S0316,(M+H)+,0.4981501,0.9998015,NA,NA,10,0.5418785,0.7135996,nistDatabase0.0.1,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
M110T152_POS,110.060106482498,151.509887695312,mz110.060233072378rt103.416696,1,2,4-Aminophenol,123-30-8,HMDB0001169,C02372,shen_1732_HMDB01169,(M+H)+,0.4230534,0.9998568,NA,NA,Unknown_1,0.7505642,0.8440489,hmdbDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,Aniline and substituted anilines
