"","name1","name2","Correlation","test_p","p.adjust"
"1","bmi","N-Acetylneuraminic acid",0.585641025641025,0.00202026774270988,0.0525269613104569
"2","bmi","Pregnenolone",-0.529572649572649,0.00605159945864496,0.0786707929623844
"3","bmi","(2R)-3-Hydroxyisovaleroylcarnitine",0.450940170940171,0.0217778005300055,0.153903662242956
"4","bmi","N-Acetyllactosamine",-0.433846153846154,0.0278301765388051,0.153903662242956
"5","bmi","Tetrahydrocorticosterone",-0.416752136752137,0.0351918392153745,0.153903662242956
"6","bmi","5alpha-pregnane-3,20-dione",-0.416068376068376,0.0355162297483745,0.153903662242956
"7","bmi","Cortisol",-0.366153846153846,0.0665682564850401,0.247253524087292
"8","bmi","Androstane-3,17-diol",-0.336752136752137,0.092973415885319,0.302163601627287
"9","bmi","19-Hydroxytestosterone",0.311452991452991,0.12152177533378,0.351062906519808
"10","bmi","Progesterone",-0.272478632478632,0.177554066453817,0.450441416571112
"11","bmi","5(Z),8(Z),11(Z)-Eicosatrienoic acid methyl ester",0.250598290598291,0.216032131197115,0.450441416571112
"12","bmi",".omega.-3 Arachidonic acid methyl ester",-0.24991452991453,0.217319972746784,0.450441416571112
"13","bmi","parity",0.232568721263346,0.252908727770549,0.450441416571112
"14","bmi","birth_wt",-0.230321818858711,0.257652203014903,0.450441416571112
"15","bmi","21-Hydroxypregnenolone",-0.228717948717949,0.259870048021795,0.450441416571112
"16","bmi","cAMP",0.179487179487179,0.378616364171047,0.596105540674056
"17","bmi","5.beta.-Pregnane-3.alpha.,17-diol-20-one",0.175384615384615,0.389761315056114,0.596105540674056
"18","bmi","N-Acetylmannosamine",0.137094017094017,0.502592641063523,0.661786871128808
"19","bmi","Propionyl-carnitine",0.135726495726496,0.50690414449165,0.661786871128808
"20","bmi","3-Acetoxypyridine",0.135042735042735,0.509066823945237,0.661786871128808
"21","bmi","Deoxycytidine",0.126153846153846,0.537594924073516,0.665593715519591
"22","bmi","Thymine",-0.0974358974358974,0.634659067723316,0.732174232238711
"23","bmi","4-Hydroxycinnamic acid",0.0858119658119658,0.675853137451118,0.732174232238711
"24","bmi","11.alpha.-Hydroxyprogesterone .beta.-D-glucuronide",-0.0858119658119658,0.675853137451117,0.732174232238711
"25","bmi","N-(4-Chlorophenyl)-4-piperidinamine",-0.0495726495726496,0.809844485265979,0.842238264676618
"26","bmi","Ubiquinone (Q2)",-0.0160683760683761,0.938753770113921,0.938753770113921
