mz-peak	score	PIUMet-ID	Metabolite-Name	HMDB-ID	origin	super-class	Cellular-location	monisotopic-moleculate-weight	Chemical-formula
m/z=167.065482999	1.0	met34014	Pyridoxal	HMDB0001545	Endogenous	Organic compounds	Cytoplasm|Extracellular	167.05824316	C8H9NO3
m/z=318.189946675	1.0	met10504	Ubiquinone-2	HMDB0006709	Endogenous	Organic compounds	Membrane (predicted from logP)	318.18310932	C19H26O4
m/z=334.257551504	1.0	met43283	Tetrahydrodeoxycorticosterone	HMDB0000879	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	334.25079495	C21H34O3
m/z=350.252573826	1.0	met30791	Tetrahydrocorticosterone	HMDB0000268	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane	350.24570958	C21H34O4
m/z=288.179048139	1.0	met18080	2-Hydroxyestradiol	HMDB0000338	Endogenous|Food	Lipids and lipid-like molecules	Extracellular|Membrane (predicted from logP)	288.17254463	C18H24O3
m/z=252.11798078	1.0	met39435	3-Hydroxyhexobarbital	HMDB0013940	Drug metabolite|Endogenous	Organic compounds	Extracellular	252.11100701	C12H16N2O4
m/z=674.244170087	1.0	met782	(N-acetylneuraminosyl(a2-6)lactosamine)	HMDB0001081	Endogenous	Organic compounds	Cytoplasm (predicted from logP)	674.23817717	C25H42N2O19
m/z=314.231541126	1.0	met23366	Progesterone	HMDB0001830	Endogenous|Food	Lipids and lipid-like molecules	Cytoplasm|Extracellular|Membrane (predicted from logP)|Endoplasmic reticulum	314.2245802	C21H30O2
m/z=478.227241706	1.0	met32991	4-Hydroxyandrostenedione glucuronide	HMDB0010315	Drug or steroid metabolite|Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane	478.22028269	C25H34O9
m/z=478.227241706	1.0	met18759	2-Methoxy-estradiol-17b 3-glucuronide	HMDB0006765	Drug metabolite|Endogenous|Food	Lipids and lipid-like molecules	Cytoplasm|Extracellular|Membrane	478.22028269	C25H34O9
m/z=464.211488022	1.0	met51871	Estriol-3-glucuronide	HMDB0010335	Drug or steroid metabolite|Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane	464.20463262	C24H32O9
m/z=464.211488022	0.5	met16848	16-alpha,17-beta-estriol 17-beta-D-glucuronide	HMDB0010354	Drug or steroid metabolite|Endogenous|Food	Organic compounds	Cytoplasm|Extracellular|Membrane	464.20463262	C24H32O9
m/z=519.32689133	1.0	met64437	LysoPC(18:2(9Z,12Z))	HMDB0010386	Endogenous|Food	Organic compounds	Extracellular|Membrane	519.33248947	C26H50NO7P
m/z=314.231480148	1.0	met23366	Progesterone	HMDB0001830	Endogenous|Food	Lipids and lipid-like molecules	Cytoplasm|Extracellular|Membrane (predicted from logP)|Endoplasmic reticulum	314.2245802	C21H30O2
m/z=122.007584387	1.0	met32040	3-Mercaptolactic acid	HMDB0002127	Endogenous	Organic compounds	Cytoplasm	122.00376475	C3H6O3S
