name,mz,rt,MS2.spectrum.name,Candidate.number,Identification,Level
M96T127,96.0444801,127.1675568,mz96.044495985613rt144.552468,1,Compound.name:2-HYDROXYPYRIDINE;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:RPLC_327;Adduct:(M+H)+;mz.error:0.214964;mz.match.score:0.999963;RT.error:78.55247;RT.match.score:0.68325;CE:NCE25;SS:0.7410393;Total.score:0.7913229;MS2.spectra.name:mz96.044495985613rt144.552468;Database:msDatabase_rplc0.0.1;Dataset.index:1,1
M139T133,139.0524453,132.8482666,mz139.050090962467rt110.81325,1,Compound.name:Urocanic acid;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:RPLC_103;Adduct:(M+H)+;mz.error:0.3425938;mz.match.score:0.9999061;RT.error:77.81325;RT.match.score:0.6881425;CE:NCE25;SS:0.5313308;Total.score:0.6876776;MS2.spectra.name:mz139.050090962467rt110.81325;Database:msDatabase_rplc0.0.1;Dataset.index:1,1
M146T126,146.0923075,126.4336548,mz146.092408553275rt94.87845,1,Compound.name:Gamma-Guanidinobutyric acid;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:RPLC_81;Adduct:(M+H)+;mz.error:0.02138319;mz.match.score:0.9999996;RT.error:61.87845;RT.match.score:0.7895008;CE:NCE25;SS:0.437033;Total.score:0.6658916;MS2.spectra.name:mz146.092408553275rt94.87845;Database:msDatabase_rplc0.0.1;Dataset.index:1,1
M153T215,153.0548285,215.0445557,mz153.054509742771rt205.871166,1,Compound.name:RESORCINOL MONOACETATE;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:RPLC_352;Adduct:(M+H)+;mz.error:0.3506431;mz.match.score:0.9999016;RT.error:36.53237;RT.match.score:0.9209186;CE:NCE25;SS:0.5425371;Total.score:0.7514736;MS2.spectra.name:mz153.054509742771rt205.871166;Database:msDatabase_rplc0.0.1;Dataset.index:1,1
M170T314,170.0600578,314.0162506,mz170.060195909354rt331.822314,1,Compound.name:3-Indoleacrylic acid;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:RPLC_24;Adduct:(M+H-H2O)+;mz.error:0.4897734;mz.match.score:0.9998081;RT.error:10.22231;RT.match.score:0.9935704;CE:NCE50;SS:0.6281998;Total.score:0.8124445;MS2.spectra.name:mz170.060195909354rt331.822314;Database:msDatabase_rplc0.0.1;Dataset.index:1,1
M259T129,259.0923507,129.0793915,mz259.092497717259rt99.702444,1,Compound.name:5-Methyluridine;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:RPLC_70;Adduct:(M+H)+;mz.error:0.005706852;mz.match.score:1;RT.error:50.52974;RT.match.score:0.8541843;CE:NCE25;SS:0.7123927;Total.score:0.8197424;MS2.spectra.name:mz259.092497717259rt99.702444;Database:msDatabase_rplc0.0.1;Dataset.index:1,1
M274T128,274.0920708,128.4348221,mz274.092676329347rt110.122152,1,Compound.name:N-ACETYLNEURAMINATE;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:RPLC_259;Adduct:(M+H-2H2O)+;mz.error:1.490823;mz.match.score:0.9982235;RT.error:75.32215;RT.match.score:0.7045391;CE:NCE25;SS:0.6071164;Total.score:0.7292489;MS2.spectra.name:mz274.092676329347rt110.122152;Database:msDatabase_rplc0.0.1;Dataset.index:1,1
M292T338,292.0783786,338.4049988,mz292.085552362483rt315.974454,1,Compound.name:Resveratrol;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:RPLC_69;Adduct:(M+CH3CN+Na)+;mz.error:22.11909;mz.match.score:0.6761073;RT.error:9.29651;RT.match.score:0.9946793;CE:NCE50;SS:0.4075681;Total.score:0.6214807;MS2.spectra.name:mz292.085552362483rt315.974454;Database:msDatabase_rplc0.0.1;Dataset.index:2,1
M292T105,292.1025884,104.6206818,mz292.102923371527rt113.387004,1,Compound.name:N-ACETYLNEURAMINATE;CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:RPLC_259;Adduct:(M+H-H2O)+;mz.error:0.6084288;mz.match.score:0.9997039;RT.error:78.587;RT.match.score:0.6830211;CE:NCE25;SS:0.5180716;Total.score:0.6797171;MS2.spectra.name:mz292.102923371527rt113.387004;Database:msDatabase_rplc0.0.1;Dataset.index:1,1
M348T134,348.0746889,133.9673462,mz348.071266227879rt138.037398,1,Compound.name:AMP (Adenosine 3'-Monophosphate Hydrate);CAS.ID:NA;HMDB.ID:NA;KEGG.ID:NA;Lab.ID:RPLC_40;Adduct:(M+H)+;mz.error:2.16557;mz.match.score:0.9962553;RT.error:66.6374;RT.match.score:0.7602503;CE:NCE50;SS:0.6462271;Total.score:0.76224;MS2.spectra.name:mz348.071266227879rt138.037398;Database:msDatabase_rplc0.0.1;Dataset.index:2,1
